# Category Overflow — 2026-05-26
CANDIDATE_THRESHOLD: ≥5 unsynthesized papers in a category
CATEGORIES total       : 32
CATEGORIES candidates  : 0

=== overview candidates (most unsynthesized first) ===
  category                                 total  synth  unsynth

=== all categories ===
  category                                 total  synth  unsynth
  behavioral-dentistry                         5      5        0
  bone-biology                                 2      2        0
  bone-regeneration                           44     44        0
  botulinum-toxin                             17     17        0
  caries                                       8      8        0
  dental-materials                            51     51        0
  digital-workflow                            28     28        0
  drug                                        75     75        0
  endodontics                                  7      7        0
  endodontics/anatomy                         12     12        0
  endodontics/eal                              9      9        0
  endodontics/irrigation                      12     12        0
  endodontics/regenerative                     6      6        0
  endodontics/vpt                              8      8        0
  evidence-appraisal                          10     10        0
  immediate-implant                           92     92        0
  implants                                    92     90        2
  implants/isq                                23     23        0
  implants/surface                            19     19        0
  inlay                                       16     16        0
  oral-medicine                               18     18        0
  oral-surgery                                22     22        0
  orthodontics                                12     12        0
  periodontics                                20     20        0
  practice-management                          1      1        0
  professional-wellbeing                       7      7        0
  prosthetic-materials                        32     32        0
  resin                                       14     14        0
  resin-bonding                               17     17        0
  sinus-lift/lateral                          35     35        0
  sinus-lift/transcrestal                     18     18        0
  tmj                                         13     13        0
